,date,cell_num,nr_people,hours,minutes
66431,2017-04-19,493-1264,20.0,3.0,0.0
66652,2017-04-19,493-1264,20.0,3.0,15.0
66873,2017-04-19,493-1264,20.0,3.0,30.0
67094,2017-04-19,493-1264,20.0,3.0,45.0
67315,2017-04-19,493-1264,19.0,4.0,0.0
67536,2017-04-19,493-1264,19.0,4.0,15.0
67757,2017-04-19,493-1264,19.0,4.0,30.0
67978,2017-04-19,493-1264,19.0,4.0,45.0
68199,2017-04-19,493-1264,19.0,5.0,0.0
68420,2017-04-19,493-1264,22.0,5.0,15.0
68641,2017-04-19,493-1264,21.0,5.0,30.0
68862,2017-04-19,493-1264,21.0,5.0,45.0
69083,2017-04-19,493-1264,20.0,6.0,0.0
69304,2017-04-19,493-1264,20.0,6.0,15.0
69525,2017-04-19,493-1264,20.0,6.0,30.0
69746,2017-04-19,493-1264,20.0,6.0,45.0
69967,2017-04-19,493-1264,21.0,7.0,0.0
70188,2017-04-19,493-1264,22.0,7.0,15.0
70409,2017-04-19,493-1264,23.0,7.0,30.0
70630,2017-04-19,493-1264,23.0,7.0,45.0
70851,2017-04-19,493-1264,23.0,8.0,0.0
71072,2017-04-19,493-1264,24.0,8.0,15.0
71293,2017-04-19,493-1264,24.0,8.0,30.0
71514,2017-04-19,493-1264,24.0,8.0,45.0
71735,2017-04-19,493-1264,24.0,9.0,0.0
71956,2017-04-19,493-1264,25.0,9.0,15.0
72177,2017-04-19,493-1264,25.0,9.0,30.0
72398,2017-04-19,493-1264,24.0,9.0,45.0
72619,2017-04-19,493-1264,23.0,10.0,0.0
72840,2017-04-19,493-1264,23.0,10.0,15.0
73061,2017-04-19,493-1264,23.0,10.0,30.0
73282,2017-04-19,493-1264,23.0,10.0,45.0
73503,2017-04-19,493-1264,23.0,11.0,0.0
73724,2017-04-19,493-1264,23.0,11.0,15.0
73945,2017-04-19,493-1264,23.0,11.0,30.0
74166,2017-04-19,493-1264,23.0,11.0,45.0
74387,2017-04-19,493-1264,23.0,12.0,0.0
74608,2017-04-19,493-1264,23.0,12.0,15.0
74829,2017-04-19,493-1264,25.0,12.0,30.0
75050,2017-04-19,493-1264,25.0,12.0,45.0
75271,2017-04-19,493-1264,25.0,13.0,0.0
75492,2017-04-19,493-1264,24.0,13.0,15.0
75713,2017-04-19,493-1264,24.0,13.0,30.0
75934,2017-04-19,493-1264,25.0,13.0,45.0
76155,2017-04-19,493-1264,25.0,14.0,0.0
76376,2017-04-19,493-1264,24.0,14.0,15.0
76597,2017-04-19,493-1264,24.0,14.0,30.0
76818,2017-04-19,493-1264,25.0,14.0,45.0
77039,2017-04-19,493-1264,26.0,15.0,0.0
77260,2017-04-19,493-1264,26.0,15.0,15.0
77481,2017-04-19,493-1264,27.0,15.0,30.0
77702,2017-04-19,493-1264,26.0,15.0,45.0
77923,2017-04-19,493-1264,26.0,16.0,0.0
78144,2017-04-19,493-1264,27.0,16.0,15.0
78365,2017-04-19,493-1264,28.0,16.0,30.0
78586,2017-04-19,493-1264,30.0,16.0,45.0
78807,2017-04-19,493-1264,31.0,17.0,0.0
79028,2017-04-19,493-1264,30.0,17.0,15.0
79249,2017-04-19,493-1264,30.0,17.0,30.0
79470,2017-04-19,493-1264,30.0,17.0,45.0
79691,2017-04-19,493-1264,31.0,18.0,0.0
79912,2017-04-19,493-1264,32.0,18.0,15.0
80133,2017-04-19,493-1264,32.0,18.0,30.0
80354,2017-04-19,493-1264,31.0,18.0,45.0
80575,2017-04-19,493-1264,30.0,19.0,0.0
80796,2017-04-19,493-1264,31.0,19.0,15.0
81017,2017-04-19,493-1264,30.0,19.0,30.0
81238,2017-04-19,493-1264,29.0,19.0,45.0
81459,2017-04-19,493-1264,29.0,20.0,0.0
81680,2017-04-19,493-1264,27.0,20.0,15.0
81901,2017-04-19,493-1264,27.0,20.0,30.0
82122,2017-04-19,493-1264,27.0,20.0,45.0
82343,2017-04-19,493-1264,27.0,21.0,0.0
82564,2017-04-19,493-1264,26.0,21.0,15.0
82785,2017-04-19,493-1264,25.0,21.0,30.0
83006,2017-04-19,493-1264,25.0,21.0,45.0
83227,2017-04-19,493-1264,24.0,22.0,0.0
83448,2017-04-19,493-1264,25.0,22.0,15.0
83669,2017-04-19,493-1264,24.0,22.0,30.0
83890,2017-04-19,493-1264,24.0,22.0,45.0
84111,2017-04-19,493-1264,24.0,23.0,0.0
84332,2017-04-19,493-1264,24.0,23.0,15.0
84553,2017-04-19,493-1264,24.0,23.0,30.0
84774,2017-04-19,493-1264,24.0,23.0,45.0
84995,2017-04-20,493-1264,23.0,0.0,0.0
85216,2017-04-20,493-1264,23.0,0.0,15.0
85437,2017-04-20,493-1264,23.0,0.0,30.0
85658,2017-04-20,493-1264,22.0,0.0,45.0
85879,2017-04-20,493-1264,22.0,1.0,0.0
86100,2017-04-20,493-1264,22.0,1.0,15.0
86321,2017-04-20,493-1264,22.0,1.0,30.0
86542,2017-04-20,493-1264,21.0,1.0,45.0
86763,2017-04-20,493-1264,21.0,2.0,0.0
